Zone,Eruption,N_samples,Volume(km3),Longitude,Latitude,num_min_age(wrt2000AD),num_max_age(wrt2000AD),MgO,La,Frac(Volume(km3)),Frac(La),Type,Period_minAgeSorted,Period_maxAgeSorted
NNVZ,Sandnabotnafjall,2,0.6,-16.75,65.69,24000,70000,7.52,6.785,1.632923077,2.501365759,Glacial,Glacial,Glacial
NNVZ,Hrafntinnuhryggur,4,0.05,-16.73,65.72,24000,30000,3.713333333,42.86666667,0.285547009,4.794714783,Glacial,Glacial,Glacial
NNVZ,Gaesafjoll,41,7,-16.90380488,65.76395122,14400,30000,9.081341463,7.416192683,13.02727799,4.306269965,Glacial,Glacial,Glacial
NNVZ,KraflaMountain,2,0.3,-16.73,65.71,14000,30000,8.24,5.975,0.647538462,3.006737051,Glacial,Glacial,Glacial
NNVZ,HyaloclastiteRidges1.15km3,6,1.15,-16.74166667,65.725,12000,70000,6.833333333,7.726666667,3.74732906,2.38694575,Glacial,Glacial,Glacial
NNVZ,Thorunnarfjoll,3,0.2,-16.88,65.85333333,12000,70000,7.926666667,10.06333333,0.480700855,4.204379515,Glacial,Glacial,Glacial
NNVZ,Einbui,3,0.1,-16.87,65.83,12000,70000,9.3,3.646666667,0.13542735,2.738860584,Glacial,Glacial,Glacial
NNVZ,Thrihyrningur,3,0.06,-16.83,65.84,12000,70000,7.236666667,10.99333333,0.176587179,3.721439555,Glacial,Glacial,Glacial
NNVZ,Ketilfjall,3,0.06,-16.91666667,65.89666667,12000,70000,6.8,5.706666667,0.197076923,1.735736616,Glacial,Glacial,Glacial
NNVZ,Namafjall,2,0.01,-16.8,65.67,12000,70000,8.795,3.675,0.017244231,2.110201042,Glacial,Glacial,Glacial
NNVZ,Eilifur,1,0.01,-16.617,65.8,12000,70000,7.43,7.55,0.027919231,2.704229233,Glacial,Glacial,Glacial
NNVZ,Raudholl,2,0.01,-16.97,65.96,12000,70000,6.2,8.655,0.037538462,2.304594967,Glacial,Glacial,Glacial
NNVZ,Kviholafjoll,6,0.06,-16.94866667,65.83833333,12000,30000,9.8125,5.12,0.069663462,4.409287244,Glacial,Glacial,Glacial
NNVZ,Hofudreidarmuli,5,0.01,-17.0792,65.9468,12000,15000,12.1542,1.53,0.010709923,1.419882142,Finiglacial,Glacial,Glacial
NNVZ,Picrites,14,0.01,-17.05542857,65.92957143,12000,15000,18.72045455,0.578027273,0.008184441,0.691310071,Finiglacial,Glacial,Glacial
NNVZ,Klappahraun,1,0.5,-16.92,65.92,12000,14500,11.355,0.407,0.550865385,0.369418747,Finiglacial,Glacial,Transitional
NNVZ,Gjastykkisbunga,3,2,-16.79,65.79,11500,12000,9.56,2.34,2.410940171,1.940003062,Postglacial,Transitional,Transitional
NNVZ,Baejarfjall,2,1,-16.925,65.86,11000,30000,8.4,7.625,2.033333333,3.785375875,Glacial,Transitional,Glacial
NNVZ,Storavitishraun,47,18.4,-16.89842553,65.88978723,11000,12000,8.748565217,2.939276596,34.92101538,1.614110558,Postglacial,Transitional,Transitional
NNVZ,Burfell,1,3.14,-16.643,65.568,10800,30000,,,,,Glacial,Transitional,Glacial
NNVZ,Heidarspordur,43,0.3,-16.8055814,65.59581395,10000,11000,5.676744186,12.58888889,1.24891771,2.76677963,Postglacial,Postglacial,Postglacial
NNVZ,Arnahvammurhraun,4,0.01,-17.1125,65.9475,8500,10300,10.82575,1.42125,0.011220865,1.258626377,Postglacial,Postglacial,Postglacial
NNVZ,Krofluhalshraun,9,1,-16.72822222,65.814,8000,11000,6.811,7.97,3.29501567,2.325537296,Postglacial,Postglacial,Postglacial
NNVZ,Earlypostglacialeruptions,5,0.01,-16.822,65.716,8000,11000,5.522,9.416,0.042840769,2.192377822,Postglacial,Postglacial,Postglacial
NNVZ,Borgarhraun,99,0.9,-16.98621212,65.8330303,8000,10000,12.15503297,1.702285714,0.963864243,1.59093825,Postglacial,Postglacial,Postglacial
NNVZ,Langaviti,12,0.8,-16.87166667,65.91666667,8000,10000,10.89216667,2.153916667,1.109283761,1.535287138,Postglacial,Postglacial,Postglacial
NNVZ,Skessuhraun,2,0.01,-17.12,65.92,7500,8500,9.525,1.725,0.012501923,1.369437368,Postglacial,Postglacial,Postglacial
NNVZ,Bondholshraun,8,0.2,-16.97125,65.76,7000,11300,10.9275,2.1402,0.223634615,1.914319142,Postglacial,Postglacial,Postglacial
NNVZ,Burfellshraun,3,1.8,-16.69,65.61633333,3150,3250,7.609333333,6.918433333,4.773015385,2.607098017,Postglacial,Postglacial,Postglacial
NNVZ,Hverfjall,1,0.4,-16.8,65.8,2600,2700,6.31,7.4,1.467128205,2.017546926,Postglacial,Postglacial,Postglacial
NNVZ,Threngslaborgir,2,2,-16.91,65.5475,2300,2500,7.757,5.885,5.072384615,2.323965575,Postglacial,Postglacial,Postglacial
NNVZ,Theistareykirhraun,7,0.6,-17.02714286,65.90714286,2300,2500,8.440714286,3.1575,1.268774725,1.283957062,Postglacial,Postglacial,Postglacial
NNVZ,Holseldar,3,0.15,-16.72333333,65.73,2200,2600,6.453333333,7.72,0.533358974,2.171740668,Postglacial,Postglacial,Postglacial
NNVZ,Laxarhraun_yngra,1,2.5,-17.43,65.87,2100,2300,7.52,5.91,6.803846154,2.171565856,Postglacial,Postglacial,Postglacial
NNVZ,Dalseldar,3,0.05,-16.81,65.658,1050,1150,6.015333333,9.13,0.194913248,2.347935104,Postglacial,Postglacial,Postglacial
NNVZ,Myvatnseldar,3,0.25,-16.89166667,65.676,270,271,6,8.99,0.977564103,2.296403933,Postglacial,Postglacial,Postglacial
NNVZ,Kroflueldar,36,0.25,-16.77802778,65.76811111,25.47222222,34.08333333,7.145971429,7.551194118,0.753511996,2.549244539,Postglacial,Postglacial,Postglacial
REYK,Langholl,4,0.8,,,16300,30000,9.6,,1.006769231,,Glacial,Transitional,Transitional
REYK,Stapafell,20,0.5,-22.5299,63.93425,16300,30000,10.58922222,7.796428571,0.769459402,6.198532148,Glacial,Transitional,Transitional
REYK,Sulur,5,0.2,-22.5466,63.916,16300,30000,11.0375,7.6,0.236173077,6.506500494,Glacial,Transitional,Transitional
REYK,Slaga,7,0.2,-22.29571429,63.85,16300,30000,8.907142857,8.428571429,0.342641026,5.060260798,Glacial,Transitional,Transitional
REYK,Keilir,2,0.1,-22.02,63.95,16300,30000,8.87,8.85,0.166576923,5.398274177,Glacial,Transitional,Transitional
REYK,Sandfell,6,0.1,-22.27833333,63.935,16300,30000,8.455,5.1,0.222455128,3.606132994,Glacial,Transitional,Transitional
REYK,Husafell,1,0.04,-21.8,64.02,16300,30000,9.28,5.4,0.053805128,4.014487228,Glacial,Transitional,Transitional
REYK,Skala-Maelifell,2,0.02,-22.27,63.85,16300,30000,10.115,8.7,0.022988462,7.560807489,Glacial,Transitional,Transitional
REYK,Hrutafell,2,0.01,-22.07,63.93,16300,30000,8.365,3.45,0.020607051,1.709068416,Glacial,Transitional,Transitional
REYK,Fiskidalsfjall,1,0.15,-22.36466,63.85957,14500,30000,8.15,5,0.334326923,2.243313201,Glacial,Transitional,Transitional
REYK,Festarfjall,2,0.05,-22.33,63.85,14500,30000,8.535,9.1,0.096387821,4.709515719,Glacial,Transitional,Transitional
